,mu(mean),std(mean),MAE(mean),mu(std),std(std),MAE(std),lag,var
center,7.04085,38.48164650000001,3.3267499999999997,0.2515380238363917,2.8521379248224825,0.19423210124890544,5,1
center_p_10,8.129199999999999,42.672384,4.216399999999999,0.3596155725215469,3.4183217091057987,0.3096627843316016,5,1
center_p_20,7.963199999999998,30.773528,3.3856000000000006,0.5362068257678188,0.987951331400488,0.5328945861988093,5,1
center_p_30,8.1492,29.559648000000003,3.6868,0.643499308468937,2.193892965323513,0.6112100784509367,5,1
center_p_40,6.659800000000001,7.435165999999999,1.7866000000000002,0.7613789857882866,1.905864245281914,0.7861643848458157,5,1
norm,5.786266666666667,25.147674666666656,2.3543999999999996,0.13616688134680702,2.0019986018342166,0.09956787867782513,5,1
norm_p_10,8.036000000000003,39.186424,3.491200000000001,0.2224410034143884,2.683733323455219,0.2017784924118524,5,1
norm_p_20,5.022200000000001,1.8178420000000008,0.6926000000000001,0.117750414012011,1.1792454894702804,0.1726709008489848,5,1
norm_p_30,5.6838,9.135637999999997,1.4594000000000005,0.1240143540079131,1.0328205545766411,0.0918783978963499,5,1
norm_p_40,5.272799999999998,3.071347999999999,1.3732,0.5042143988423973,1.853824877623558,0.4516965352977594,5,1
raw,7.052049999999999,38.629151500000006,3.33655,0.2472259706743291,2.8166674575793063,0.18626773439263122,5,1
scale,7.0411,38.491792000000004,3.3252,0.2547268323580675,2.9260448912321793,0.1927168995178785,5,1
scale_p_10,14.855600000000004,33.032212000000015,10.137200000000002,0.4129608213862423,1.192324679043422,0.3819792664530365,5,1
scale_p_20,12.2532,66.79009199999999,7.816,0.2186269882699754,3.780614487082228,0.1984036289990684,5,1
scale_p_30,5.537999999999999,4.962852000000002,1.7564000000000002,0.591695867824003,1.868926927864221,0.4842716592987865,5,1
scale_p_40,6.4214,10.22863,2.0714,0.0916080782464078,0.5336745818380335,0.0534419311028334,5,1
center,10.37815,52.609730500000005,6.181150000000001,0.7528542333389621,5.836645853662664,0.5521518034171466,5,2
center_p_10,9.7272,53.18602,6.1204,0.4569027905364554,2.489989880461363,0.3463002165751561,5,2
center_p_20,10.790000000000004,55.87828,6.976400000000002,0.3704321800275996,1.190814894095634,0.265968118390156,5,2
center_p_30,12.171399999999997,66.750174,8.051400000000003,0.3855490111516302,4.665447463847815,0.4232919087343862,5,2
center_p_40,12.1428,63.993915999999984,7.679199999999998,0.3119169120134399,3.011780206944727,0.3343700943565376,5,2
norm,9.064199999999998,47.37543800000001,5.045800000000001,0.466720992868822,3.931287700978269,0.30275343298754903,5,2
norm_p_10,13.0794,50.86397,8.691799999999997,0.3266889040050182,1.0897779992732457,0.3896803305274722,5,2
norm_p_20,7.960600000000002,23.863774,3.5214000000000003,0.1283496786127647,1.219514987002622,0.1658192992386592,5,2
norm_p_30,6.139600000000001,6.176199999999997,1.8196,0.3116277266226483,3.5113509051645635,0.2773442626051601,5,2
norm_p_40,5.937600000000001,3.399523999999999,1.7324000000000002,0.1103731851492925,0.1392917148433459,0.0418836483606669,5,2
raw,10.38315,52.7153915,6.191549999999999,0.7465794088687028,5.84401744995969,0.5506269189145104,5,2
scale,10.3983,52.714197,6.202400000000001,0.7633913744937861,5.953007494430555,0.5605329984121526,5,2
scale_p_10,11.940399999999997,27.054011999999997,7.508400000000002,0.3650148490130232,5.679142615664442,0.2305763214209125,5,2
scale_p_20,13.843799999999998,39.799762,9.1826,0.4617786915828839,3.303557093551736,0.4072925729742687,5,2
scale_p_30,9.777799999999996,56.49668600000001,5.848599999999999,0.7292058419952487,7.491272573495375,0.6023886121101562,5,2
scale_p_40,6.637799999999999,15.200518000000002,2.716999999999999,0.5292382828178628,5.208779922311558,0.4976997086597503,5,2
center,5.777850000000001,6.958012500000001,1.5405499999999996,0.279807547680435,2.8376128028423477,0.33485778010237877,5,3
center_p_10,10.6994,46.17079400000001,6.7174000000000005,0.2881764043081944,3.023151294620235,0.2613335799318565,5,3
center_p_20,7.567399999999997,26.031973999999995,3.9994,0.7204743159891265,4.781868659710761,0.5752578899936968,5,3
center_p_30,6.879200000000001,21.159232000000003,3.6792000000000007,0.3215203881560234,2.694626992326769,0.1424337038765755,5,3
center_p_40,7.320999999999999,22.08555,3.781,0.4766644522093085,4.407970438206228,0.3551802359366298,5,3
norm,5.409866666666669,8.064436,1.649733333333333,0.3500250288982654,2.5065298654866974,0.3436698049246975,5,3
norm_p_10,14.941400000000002,48.70915,10.027000000000005,1.041160909754107,2.862372282583104,0.9620774397105464,5,3
norm_p_20,6.753799999999997,34.33016599999999,3.528600000000001,0.5282230210810582,1.21111480275158,0.2850123506095832,5,3
norm_p_30,6.0698,5.131945999999999,1.7786,0.1933441491227495,0.955810357803262,0.1449828955428881,5,3
norm_p_40,4.3466000000000005,5.242889999999999,2.0234000000000005,0.1624144082278416,0.2393175641276667,0.038294124875756,5,3
raw,5.7812,6.952660000000001,1.5416999999999998,0.27569547942872785,2.823847604411049,0.33560521579691904,5,3
scale,5.768099999999999,6.902539,1.5355999999999999,0.29102940461983884,2.87135997271539,0.34431602543959217,5,3
scale_p_10,16.917599999999997,39.08846800000001,12.068399999999995,0.4507130350899561,3.500004396879524,0.3942352597117615,5,3
scale_p_20,6.500400000000001,28.202611999999995,3.6395999999999993,0.4474235577168463,3.478465758959832,0.2377137774719841,5,3
scale_p_30,4.1386,7.030702,2.349,0.1244509541948151,0.5284482894248026,0.0957966596494888,5,3
scale_p_40,6.261199999999999,7.159684000000001,2.301999999999999,0.2772914711995306,2.7779580647202,0.2468683859873517,5,3
center,9.13615,6.236589500000001,1.4956500000000004,0.13174614492395526,1.5559072741937854,0.14234604551770566,10,1
center_p_10,11.849400000000005,23.686606,3.3538,0.1846987818043206,4.295207765890259,0.4098726143571926,10,1
center_p_20,12.266400000000004,23.753764,3.5719999999999987,0.427629559315069,3.9346432475516777,0.5535160340947677,10,1
center_p_30,11.534399999999998,12.431188,2.228000000000001,0.129725248120788,2.724020659440012,0.3339760470452934,10,1
center_p_40,12.453,21.441094,3.3646,0.2725747603869443,1.0360810054064309,0.126161959401398,10,1
norm,9.15,7.336957333333334,1.7965333333333333,0.11092144784758866,1.2541399826833028,0.09533090176250807,10,1
norm_p_10,10.6306,12.150182000000004,2.0857999999999994,0.2305680810519967,1.2943173384746107,0.1636103908680619,10,1
norm_p_20,10.6944,8.555976000000001,1.6904,0.1750218272102083,1.056687712535733,0.1241766483683627,10,1
norm_p_30,10.7228,8.190532000000001,1.7284,0.042756987733001,0.5549053034311351,0.0568281620325697,10,1
norm_p_40,9.5128,3.152532000000001,1.2924,0.1220825949920791,1.9966392693163173,0.3087170873145831,10,1
raw,9.13025,6.219947500000001,1.4940499999999997,0.11893740910534098,1.3927133911753615,0.13270839749195884,10,1
scale,9.134450000000001,6.236302500000001,1.4944499999999998,0.13456884017368706,1.5704724127128358,0.1419384914964274,10,1
scale_p_10,19.6628,25.008444,10.050799999999995,0.1762162308074941,2.447907210836229,0.1078487830251227,10,1
scale_p_20,13.8524,37.18326,4.994399999999999,0.5025477489751596,1.032711335853346,0.1510650191142873,10,1
scale_p_30,9.3062,4.330290000000001,1.6594,0.0703673219612626,1.6861389678493293,0.233935119210434,10,1
scale_p_40,13.009800000000002,17.588397999999994,3.7722,0.3226545521141767,1.1539437078973995,0.2360956585793139,10,1
center,13.372000000000005,40.785188000000005,4.8575,0.49740760670219303,4.375882054835134,0.4058787652870998,10,2
center_p_10,12.829,38.396338,5.3382000000000005,0.1934450826462126,3.266108522501358,0.264232397710803,10,2
center_p_20,13.116199999999996,38.576222,5.7998,0.2684689181264751,3.933517819117641,0.460940299822005,10,2
center_p_30,14.0974,12.230646,4.557799999999999,0.4162538167993178,2.156056078232661,0.1654725354854997,10,2
center_p_40,11.914999999999996,15.009717999999998,3.5022,0.185625968010944,3.156289553744396,0.2157896197688852,10,2
norm,13.3182,42.600742,4.997799999999999,0.39956444749376435,3.751800899506252,0.3107249713999629,10,2
norm_p_10,14.631200000000002,52.290108,7.288400000000003,0.2132570280201803,3.4989344255553,0.314244236223992,10,2
norm_p_20,13.669800000000002,11.534526,4.002600000000002,0.3625492518265622,0.8081466225407368,0.3908493827550456,10,2
norm_p_30,12.787,7.443626,2.9774000000000003,0.049040799340957,2.226453054686758,0.0770405088249032,10,2
norm_p_40,9.501799999999998,3.635534000000001,1.4641999999999993,0.1134141084698019,0.2149398665766776,0.0294,10,2
