,setting,window,decompose,n_boot,mae,mean,std
0,1_raw,120,True,10,2.2,9.4,3.2310988842807027
1,2_min-max,10,True,10,4.6,13.8,3.4583232931581165
2,3_z-score,10,True,10,1.4,8.8,2.181742422927143
3,4_nonlinear,10,True,10,1.7,11.5,3.2326459750489227
4,2_min-max,20,True,10,2.1,11.9,2.1656407827707715
5,3_z-score,20,True,10,1.6,10.8,2.08806130178211
6,4_nonlinear,20,True,10,1.0,10.2,1.5362291495737217
7,2_min-max,30,True,10,1.5,8.9,1.8681541692269403
8,3_z-score,30,True,10,1.9,11.1,2.4269322199023193
9,4_nonlinear,30,True,10,1.7,11.5,1.5
10,2_min-max,40,True,10,1.5,10.9,1.6401219466856725
11,3_z-score,40,True,10,0.5,10.5,0.806225774829855
12,4_nonlinear,40,True,10,1.8,11.8,1.4000000000000001
13,2_min-max,120,True,10,9.8,19.8,2.315167380558045
14,3_z-score,120,True,10,9.8,19.6,4.1521078984053394
15,4_nonlinear,120,True,10,6.2,12.0,7.443117626371358
16,1_raw,120,False,10,6.0,12.4,6.945502141674135
17,2_min-max,10,False,10,7.5,12.5,8.077747210701755
18,3_z-score,10,False,10,6.7,15.9,5.374941860150675
19,4_nonlinear,10,False,10,7.1,15.7,5.967411499134277
20,2_min-max,20,False,10,6.0,12.4,6.359245238233858
21,3_z-score,20,False,10,9.3,16.9,6.9346953790343235
22,4_nonlinear,20,False,10,7.3,14.9,6.89129886160802
23,2_min-max,30,False,10,6.8,14.8,6.289674077406556
24,3_z-score,30,False,10,5.1,12.1,5.821511831131154
25,4_nonlinear,30,False,10,5.2,7.2,5.4
26,2_min-max,40,False,10,5.6,13.4,6.019966777316965
27,3_z-score,40,False,10,7.9,10.5,8.393449827097319
28,4_nonlinear,40,False,10,6.0,12.8,7.025667228100119
29,2_min-max,120,False,10,6.5,15.9,4.968903299521938
30,3_z-score,120,False,10,9.0,13.8,8.908422980528035
31,4_nonlinear,120,False,10,7.7,16.3,6.4195015382816125
32,1_raw,120,True,100,2.16,9.08,2.9822139426942527
33,2_min-max,10,True,100,4.99,14.01,4.738132543523872
34,3_z-score,10,True,100,1.63,9.81,3.233249139797303
35,4_nonlinear,10,True,100,1.58,10.94,3.17748328083721
36,2_min-max,20,True,100,1.98,10.68,2.894408402420087
37,3_z-score,20,True,100,2.17,10.21,3.35647136141514
38,4_nonlinear,20,True,100,0.87,10.35,1.329473580030833
39,2_min-max,30,True,100,1.87,8.63,2.3479991482110893
40,3_z-score,30,True,100,2.51,10.33,3.8315923582761253
41,4_nonlinear,30,True,100,1.1,10.9,1.3674794331177342
42,2_min-max,40,True,100,2.16,10.02,3.2710243044037446
43,3_z-score,40,True,100,2.98,12.58,4.619913419102137
44,4_nonlinear,40,True,100,1.8,11.06,2.2619460647858074
45,2_min-max,120,True,100,7.71,17.31,4.706792963366883
46,3_z-score,120,True,100,7.96,17.04,5.713002713109805
47,4_nonlinear,120,True,100,6.01,12.93,6.937225670251761
48,1_raw,120,False,100,5.85,11.39,6.855501440449123
49,2_min-max,10,False,100,7.1,12.06,7.70171409492718
50,3_z-score,10,False,100,7.17,14.23,7.015490004269124
51,4_nonlinear,10,False,100,6.97,14.43,6.6831953435463785
52,2_min-max,20,False,100,6.63,12.01,7.209015189330648
53,3_z-score,20,False,100,6.61,13.77,6.748118256225212
54,4_nonlinear,20,False,100,6.08,12.1,7.000714249274855
55,2_min-max,30,False,100,6.57,13.33,6.844055815085087
56,3_z-score,30,False,100,6.1,12.88,6.618579908107177
57,4_nonlinear,30,False,100,6.13,12.61,6.943911001733822
58,2_min-max,40,False,100,6.93,12.49,7.393909655926288
59,3_z-score,40,False,100,7.11,13.59,7.419022846709667
60,4_nonlinear,40,False,100,6.17,13.43,6.568492977845071
61,2_min-max,120,False,100,7.16,15.72,5.975081589401102
62,3_z-score,120,False,100,7.18,14.8,6.6828137786414485
63,4_nonlinear,120,False,100,6.84,14.52,6.4783948629270816
64,1_raw,120,True,1000,2.449,9.543,3.9382929042924166
65,2_min-max,10,True,1000,4.751,14.119,4.240853569742771
66,3_z-score,10,True,1000,1.577,10.093,2.8737346780800763
67,4_nonlinear,10,True,1000,1.527,10.781,2.9804427523440205
68,2_min-max,20,True,1000,1.875,10.571,2.8065920615579314
69,3_z-score,20,True,1000,2.263,10.275,3.581532493221302
70,4_nonlinear,20,True,1000,0.937,10.297,1.3456563454314776
71,2_min-max,30,True,1000,1.945,8.875,2.513438879304607
72,3_z-score,30,True,1000,2.549,10.629,3.9004306172524084
73,4_nonlinear,30,True,1000,1.252,10.78,1.4878171930717834
74,2_min-max,40,True,1000,2.261,10.283,3.53396533655892
75,3_z-score,40,True,1000,2.75,11.974,4.194439652683061
76,4_nonlinear,40,True,1000,1.717,10.993,2.0422906257435542
77,2_min-max,120,True,1000,7.378,16.966,4.93506271490039
78,3_z-score,120,True,1000,7.961,16.831,5.90274842763945
79,4_nonlinear,120,True,1000,6.043,13.379,6.718136571996732
80,1_raw,120,False,1000,6.132,11.234,7.032584446702364
81,2_min-max,10,False,1000,6.732,12.928,7.213932076198112
82,3_z-score,10,False,1000,6.488,13.064,6.976095182836885
83,4_nonlinear,10,False,1000,6.768,13.292,7.119180851755348
84,2_min-max,20,False,1000,6.938,12.638,7.485917178275486
85,3_z-score,20,False,1000,6.665,13.511,6.970213698302227
86,4_nonlinear,20,False,1000,6.663,12.861,7.237242499737038
87,2_min-max,30,False,1000,6.92,13.144,7.27030013135634
88,3_z-score,30,False,1000,6.518,12.974,6.995807601699749
89,4_nonlinear,30,False,1000,6.355,12.277,7.134442585093806
90,2_min-max,40,False,1000,6.82,12.714,7.388112343488017
91,3_z-score,40,False,1000,6.745,13.287,7.149869299504712
92,4_nonlinear,40,False,1000,6.628,13.172,7.0708143802535215
93,2_min-max,120,False,1000,7.198,14.89,6.716390399611981
94,3_z-score,120,False,1000,7.228,14.836,6.7346198110955005
95,4_nonlinear,120,False,1000,7.025,14.267,6.887358782581317
